,Brand,Model,Model_year,Transmission,Engine_size(cc),Drivetrain,Fuel_type,Lot_no,Kilometer,Price
926,Hyundai,santro,2006, Automatic,1100,2, Petrol,6,43000,1125000
927,Hyundai,i10,2009, Manual,1200,2, Petrol,9,29000,1385000
928,Hyundai,i10,2009, Manual,1200,2, Petrol,7,50000,1250000
929,Hyundai,santro,2008, Manual,1100,2, Petrol,6,37500,1400000
930,Hyundai,tucson,2011, Manual,2000,4, Diesel,9,30000,5700000
931,Hyundai,i10,2009, Manual,1200,2, Petrol,7,29000,1575000
932,Hyundai,santro,2006, Manual,1100,2, Petrol,6,45000,1225000
933,Hyundai,asta,2006, Manual,1500,2, Diesel,5,51115,1425000
934,Hyundai,asta,2003, Manual,1500,2, Diesel,3,58400,1000000
935,Hyundai,santro,2000, Manual,1000,2, Petrol,3,44000,650000
936,Hyundai,asta,2003, Manual,1500,2, Diesel,6,45000,1250000
937,Hyundai,i10,2010, Manual,1200,2, Petrol,8,29660,1575000
938,Hyundai,tucson,2014, Manual,2000,4, Diesel,7,28338,3600000
939,Hyundai,i10,2009, Manual,1200,2, Petrol,7,29376,1475000
940,Hyundai,accent,2009, Manual,1400,2, Petrol,7,43623,1600000
941,Kia,sephia,2007, Manual,1500,2, Petrol,2,90000,1300000
942,Kia,sportage,2010, Manual,2000,2, Petrol,8,51000,3250000
943,Kia,sportage,2010, Manual,2000,4, Petrol,8,48000,3700000
944,Kia,sportage,2006, Manual,2000,4, Diesel,1,66000,2050000
945,Kia,sportage,2011, Manual,2000,4, Diesel,8,44000,4600000
946,Kia,sportage,2005, Manual,2000,4, Diesel,5,59000,2175000
947,Kia,picanto,2006, Manual,1100,2, Petrol,5,34859,870000
948,Kia,sportage,2011, Manual,2000,4, Petrol,9,43000,4150000
949,Kia,picanto,2010, Manual,1200,2, Petrol,1,65000,1050000
950,Kia,picanto,2011, Manual,1100,2, Petrol,19,55000,1075000
951,Kia,sportage,2011, Manual,2000,2, Diesel,9,43000,5200000
952,Kia,picanto,2007, Manual,1100,2, Petrol,6,47500,900000
953,Kia,picanto,2005, Manual,1100,2, Petrol,5,50000,925000
954,Kia,sportage,2011, Manual,2000,4, Diesel,9,42000,5250000
955,Kia,rio,2003, Manual,1350,2, Petrol,4,90000,650000
